# key: recording name
# coordinate_index: index of the keypoint data in coordinates (same as video_frame_index if every frame was used)
# video_frame_index: frame number in the video
# bodypart: name of the bodypart that was annotated
# x: x-coordinate of the annotated keypoint
# y: y-coordinate of the annotated keypoint
key,coordinate_index,video_frame_index,bodypart,x,y
R1G43H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,11241,11241,snout,336.8215937420605,343.9867886178862
R2G39H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,15136,15136,tail_tip,167.7159026851499,220.40955284552848
R0G39TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,8934,8934,right_mid,422.6752522786458,191.79166666666669
R4G64H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,10296,10296,mid_back,429.1793173192962,220.40955284552848
R3G66H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,4523,4523,mid_mid,390.1549270753938,223.01117886178866
R3G65S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,3840,3840,snout,334.2199677258003,141.05995934959356
R2G39H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,18109,18109,tail_base,167.7159026851499,194.39329268292687
R4G66H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,2359,2359,left_mid,423.97606528677596,206.10060975609758
R3G65H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,1960,1960,tail_tip,237.9598051241743,412.92987804878055
R3G65H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,12252,12252,right_back,387.5533010591336,210.00304878048786
R1G68H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,10121,10121,snout,161.2118376444995,213.90548780487808
R3G39H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,9473,9473,snout,183.3256587827109,242.52337398373987
R1G45H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,563,563,left_mid,446.08988642498724,187.88922764227647
R2G39H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,15149,15149,snout,422.6752522786458,178.78353658536588
R1G43TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,5625,5625,right_back,215.8459839859629,299.75914634146346
R2G39H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,14736,14736,tail_tip,283.4882604087271,76.01930894308947
R2G67S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,8339,8339,snout,271.7809433355564,148.86483739837405
R2G67H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,9903,9903,snout,215.8459839859629,330.9786585365854
R1G39H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,14678,14678,left_back,201.537040896532,198.2957317073171
R1G68TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,4945,4945,snout,414.8703742298654,256.83231707317077
R2G39S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,3011,3011,snout,388.85411406726377,113.74288617886185
R4G67TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7051,7051,tail_mid,408.366309189215,200.89735772357727
R1G65H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,13905,13905,right_front,388.85411406726377,185.28760162601628
R4G66H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,10524,10524,tail_tip,271.7809433355564,424.63719512195127
R2G66H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,1925,1925,mid_mid,386.2524880510036,204.79979674796755
R2G66H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,10880,10880,mid_front,306.9028945550686,211.30386178861795
R3G45H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,17857,17857,right_front,288.6915124412474,83.82418699186996
R2G66H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,6880,6880,mid_front,297.797203498158,155.36890243902445
R2G66H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,944,944,neck,244.4638701648247,141.05995934959356
R2G45H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,13484,13484,left_mid,176.8215937420605,264.63719512195127
R0G39S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7760,7760,left_ear,221.0492360184832,239.9217479674797
R4G65S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,5962,5962,skull,304.3012685388084,150.16565040650408
R3G67H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7775,7775,mid_front,223.6508620347434,237.32012195121956
R2G66H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7211,7211,tail_tip,362.8378539046621,178.78353658536588
R3G64H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,12855,12855,mid_back,382.35004902661325,409.0274390243903
R1G42S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,6881,6881,tail_tip,378.4476100022231,177.4827235772358
R0G39S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,8850,8850,left_back,217.146796994093,237.32012195121956
R3G45TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7596,7596,tail_tip,234.05736609978402,185.28760162601628
R2G67H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,4958,4958,left_mid,383.6508620347434,183.98678861788625
R2G65S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,1627,1627,tail_tip,156.00858561197919,315.3689024390244
R3G67H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,2169,2169,snout,231.4557400835239,161.87296747967486
R3G45S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,16,16,mid_back,336.8215937420605,259.43394308943095
R4G64H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,4610,4610,tail_mid,362.8378539046621,160.57215447154476
R2G67H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,12349,12349,snout,256.1711872379954,223.01117886178866
R3G68H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,6561,6561,snout,250.9679352054751,383.01117886178866
R1G45TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,4424,4424,mid_back,323.8134636607596,337.4827235772358
R3G39H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,1546,1546,left_ear,409.667122197345,190.49085365853665
R3G67H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,4735,4735,tail_mid,358.9354148802718,164.47459349593498
R3G64S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,1670,1670,neck,318.6102116282393,368.70223577235777
R0G68S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,4872,4872,mid_back,434.3825693518166,194.39329268292687
