# key: recording name
# coordinate_index: index of the keypoint data in coordinates (same as video_frame_index if every frame was used)
# video_frame_index: frame number in the video
# bodypart: name of the bodypart that was annotated
# x: x-coordinate of the annotated keypoint
# y: y-coordinate of the annotated keypoint
key,coordinate_index,video_frame_index,bodypart,x,y
R3G39H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,13169,13289,left_ear,215.6822509765625,170.82113821138216
R1G39H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,15301,15421,tail_base,180.5602997570503,209.84552845528458
R3G39H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,11960,12080,skull,384.78794203347303,319.1138211382114
R1G39H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,13347,13467,snout,218.28387699282268,143.50406504065046
R1G68H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,10913,11033,right_ear,382.18631601721285,299.6016260162602
R2G39H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,14148,14268,snout,405.6009501635544,123.99186991869925
R2G39H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,16342,16462,snout,189.6659908139609,237.16260162601628
R1G39H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,13774,13894,snout,218.28387699282268,142.20325203252037
R1G68S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,4570,4690,tail_base,158.4464786188389,312.609756097561
R0G39S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,8766,8886,snout,267.7147713017657,243.66666666666669
R1G68H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,5173,5293,snout,376.9830639846926,129.19512195121956
R3G68H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,9117,9237,snout,193.5684298383511,157.81300813008136
R2G68H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,9905,10025,snout,228.6903810578633,165.61788617886185
R1G68H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,10801,10921,tail_base,157.14566561070882,259.2764227642277
R2G39H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,17116,17236,skull,187.0643647977007,228.05691056910575
R1G39H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,13317,13437,snout,215.6822509765625,142.20325203252037
R3G39H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,3481,3601,mid_back,227.3895680497332,148.70731707317077
R1G68H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,9094,9214,snout,345.7635517895706,373.7479674796748
R2G39H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,13744,13864,tail_base,209.1781859359121,123.99186991869925
R3G68S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,6254,6374,tail_base,168.8529826838796,248.86991869918705
R4G68H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,751,871,mid_back,216.9830639846926,389.3577235772358
R1G39H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,14240,14360,snout,179.2594867489202,181.22764227642278
R1G68H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,5226,5346,snout,350.9668038220909,110.98373983739839
R2G39S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7347,7467,left_ear,448.527779431847,169.52032520325207
R3G39H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,17090,17210,mid_back,274.2188363424161,333.42276422764235
R3G68S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7536,7656,mid_front,339.2594867489202,372.44715447154476
