# key: recording name
# coordinate_index: index of the keypoint data in coordinates (same as video_frame_index if every frame was used)
# video_frame_index: frame number in the video
# bodypart: name of the bodypart that was annotated
# x: x-coordinate of the annotated keypoint
# y: y-coordinate of the annotated keypoint
key,coordinate_index,video_frame_index,bodypart,x,y
R3G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,2741,2861,snout,297.6334704887576,173.40243902439028
R0G39TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,8869,8989,neck,417.30826723672504,226.7357723577236
R4G67TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,2138,2258,mid_back,422.5115192692454,291.7764227642277
R4G67TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,2158,2278,mid_mid,430.31639731802596,276.1666666666667
R0G39TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,6842,6962,skull,445.92615341558684,203.32113821138216
R4G67TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,8098,8218,skull,429.0155843098958,230.63821138211387
R2G39TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,5776,5896,tail_base,434.2188363424162,146.08536585365857
R1G42TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7821,7941,snout,349.6659908139609,66.73577235772365
R3G64TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,3352,3472,snout,236.4952591066438,406.2479674796748
R4G66TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,2229,2349,snout,241.6985111391641,368.5243902439025
R3G64TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,3020,3140,snout,236.4952591066438,406.2479674796748
R4G66TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,1632,1752,snout,262.5115192692454,371.1260162601626
R3G64TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,6903,7023,snout,380.8855030090828,178.6056910569106
R4G66TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,3710,3830,snout,246.90176317168442,373.7276422764228
R1G68TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,5018,5138,snout,397.79607211477384,259.25609756097566
R1G68TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,4742,4862,snout,416.007454228595,263.1585365853659
R4G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7560,7680,snout,157.14566561070882,312.589430894309
R4G66TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,3733,3853,snout,242.9993241472942,364.6219512195122
R1G68TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,2869,2989,snout,393.8936330903836,226.7357723577236
R3G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,4556,4676,snout,399.096885122904,176.00406504065046
R4G67TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7082,7202,snout,423.81233227737545,212.42682926829275
R4G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7527,7647,snout,151.9424135781885,322.9959349593496
R4G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7534,7654,snout,157.14566561070882,324.29674796747975
R4G66TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,6049,6169,snout,305.4383485375381,164.2967479674797
R3G66TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,1799,1919,snout,235.1944460985137,212.42682926829275
R3G66TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,8667,8787,snout,371.7798119521722,282.6707317073171
R1G42TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7827,7947,snout,348.3651778058308,68.03658536585368
R1G43TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,6926,7046,snout,198.77168187087142,254.05284552845535
R3G67TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,1895,2015,left_ear,207.877372927782,243.64634146341467
R1G42TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,8849,8969,snout,300.2350965050178,82.34552845528458
R3G66TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,8553,8673,snout,387.3895680497332,256.6544715447155
R2G0TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7428,7548,mid_back,250.8042021960747,170.80081300813015
R3G64TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7494,7614,snout,396.4952591066438,185.109756097561
R3G66TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7430,7550,snout,356.1700558546113,285.2723577235773
R1G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,3008,3128,skull,270.3163973180259,172.10162601626018
R3G66TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,8599,8719,snout,400.397698131034,272.26422764227647
R3G64TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,8247,8367,skull,402.9993241472942,203.32113821138216
R1G68TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,4245,4365,snout,423.81233227737545,280.06910569105696
R4G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7406,7526,snout,163.64973065135922,328.19918699186996
R0G39TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,8249,8369,snout,436.82046235867637,207.22357723577238
R1G68TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,5290,5410,right_ear,397.79607211477384,231.93902439024396
R4G64TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,3719,3839,mid_back,374.3814379684324,333.4024390243903
R4G66TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,3621,3741,snout,261.2107062611153,365.92276422764235
R1G68TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,4890,5010,snout,410.80420219607464,267.06097560975616
R3G45TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,2878,2998,skull,210.4789989440422,129.17479674796755
R3G67TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,5753,5873,snout,188.3651778058308,282.6707317073171
R4G67TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,2449,2569,snout,430.31639731802596,237.14227642276427
R1G68TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,4787,4907,tail_base,442.0237143911966,221.53252032520328
R4G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7417,7537,snout,167.5521696757495,321.69512195121956
R4G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7537,7657,snout,166.2513566676194,316.4918699186992
R0G39TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7626,7746,snout,404.30013715542424,235.84146341463418
R3G64TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,8899,9019,mid_front,327.5521696757495,263.1585365853659
R1G42TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,8631,8751,snout,323.6497306513592,90.15040650406507
R4G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7424,7544,snout,162.34891764322919,328.19918699186996
R0G39TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_best-2910,7325,7445,snout,396.4952591066438,191.61382113821145
