# key: recording name
# coordinate_index: index of the keypoint data in coordinates (same as video_frame_index if every frame was used)
# video_frame_index: frame number in the video
# bodypart: name of the bodypart that was annotated
# x: x-coordinate of the annotated keypoint
# y: y-coordinate of the annotated keypoint
key,coordinate_index,video_frame_index,bodypart,x,y
R4G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_1650_p60_labeledDLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,4281,4281,right_back,192.5973070017953,252.4867145421903
R3G64H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,6093,6093,tail_mid,328.7552962298024,406.7416517055655
R4G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_1650_p60_labeledDLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,312,312,right_front,190.87378815080785,302.46876122082585
R4G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,3537,3537,tail_tip,166.74452423698375,358.4831238779174
R3G0S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,4355,4355,left_back,326.1700179533213,193.02531418312384
R4G65H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,3984,3984,mid_front,408.8989228007181,203.36642728904843
R2G67TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,3419,3419,tail_mid,276.1879712746857,191.3017953321364
R3G65H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,3108,3108,mid_back,207.24721723518843,324.0127468581687
R4G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_1650_p60_labeledDLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,250,250,left_mid,177.0856373429084,289.5423698384201
R4G66S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,1667,1667,snout,321.8612208258527,149.0755834829443
R2G65H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,4446,4446,left_front,430.44290843806095,299.021723518851
R3G65H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,5914,5914,right_front,382.18438061041286,231.8044883303411
R1G45S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,802,802,tail_mid,394.2490125673248,174.92836624775583
R4G65S2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,1738,1738,right_front,413.20771992818663,286.0953321364452
R4G67S1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,2451,2451,tail_base,372.70502692998195,361.06840215439854
R3G67TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,2459,2459,neck,289.1143626570915,306.7775583482944
R3G45H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,8102,8102,left_front,320.13770197486525,98.23177737881502
R3G67H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,3324,3324,right_back,372.70502692998195,185.26947935368042
R3G65H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,7972,7972,tail_tip,158.1269299820466,310.22459605026927
R3G66H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,2522,2522,right_ear,259.81454219030513,305.05403949730703
R1G43H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,2999,2999,tail_base,174.50035906642722,261.9660682226212
R2G66H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,2805,2805,mid_mid,362.36391382405736,168.8960502692998
R2G66H3DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,2189,2189,right_ear,348.5757630161579,127.53159784560142
R1G65H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,5235,5235,snout,356.3315978456013,395.53877917414724
R4G64H2DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,2188,2188,left_back,330.47881508078984,152.52262118491916
R4G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_1650_p60_labeledDLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,1997,1997,neck,420.96355475763005,268.8601436265709
R2G45H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,1946,1946,left_back,402.86660682226204,126.66983842010768
R1G45TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,2776,2776,tail_mid,364.08743267504474,355.03608617594256
R4G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_1650_p60_labeledDLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,1023,1023,skull,199.49138240574501,310.22459605026927
R4G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_1650_p60_labeledDLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,1214,1214,neck,176.22387791741465,313.67163375224413
R4G65TDLC_HrnetW48_elm_msMay6shuffle1_snapshot_1650_p60_labeledDLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,602,602,skull,182.2561938958707,332.63034111310594
R3G67H1DLC_HrnetW48_elm_msMay6shuffle1_snapshot_2910,3038,3038,left_back,314.96714542190296,224.04865350089767
