# key: recording name
# coordinate_index: index of the keypoint data in coordinates (same as video_frame_index if every frame was used)
# video_frame_index: frame number in the video
# bodypart: name of the bodypart that was annotated
# x: x-coordinate of the annotated keypoint
# y: y-coordinate of the annotated keypoint
key,coordinate_index,video_frame_index,bodypart,x,y
01_HAB3_R.azul1_F5_P24DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,6523,6523,focinho,451.1294054481072,362.02731199186996
01_NOR_R.roxo1_F3_P25DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,9,9,orelha direita,339.940013046683,373.0429468393521
01_HAB1_R.laranja2_F6_P22DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,4668,4668,focinho,410.52676542583475,129.01446004285617
01_HAB2_R.azul1_F3_P23DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,9305,9305,orelha direita,439.7698485543404,324.6406023507909
01_HAB1_R.verde1_F3_P22DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,8517,8517,focinho,319.77236950978255,282.2885509232999
01_HAB2_R.azul1_F3_P23DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,9394,9394,focinho,333.8897199856129,347.8333924182265
01_HAB1_R.roxo1_F5_P22DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,7645,7645,cauda,331.8729556319228,349.85015677191655
01_HAB3_R.roxo1_F3_P24_PARTE 1DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,7976,7976,focinho,354.05736352251336,134.05637092708128
01_HAB3_R.roxo2_F6_P24DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,3183,3183,focinho,399.43456148053946,117.92225609756088
02_AMOSTRA_R.laranja2_F6_P25DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,1342,1342,orelha direita,222.9676805326602,257.0789965021743
01_HAB1_R.roxo2_F6_P22DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,3745,3745,orelha direita,222.9676805326602,186.49224412302254
01_HAB3_R.roxo2_F6_P24DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,7245,7245,orelha esquerda,217.92576964843505,283.2969331001449
02_HAB3_R.verde1_F3_P24DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,13522,13522,focinho,336.9148665161479,103.80490562173054
01_HAB1_R.laranja1_F5_P22DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,5322,5322,focinho,444.8117594385655,207.6682698367681
01_HAB2_R.roxo2_F6_P23DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,1259,1259,orelha esquerda,499.2643969881969,223.80238466628845
01_HAB3_R.roxo1_F5_P24DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,4896,4896,orelha esquerda,481.11351780498643,293.3807548685952
01_HAB3_R.azul1_F3_P24DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,11978,11978,focinho,460.9458742680859,160.27430752505194
02_HAB2_R.verde1_F3_P23DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,10992,10992,focinho,374.2250070594138,64.47800072477463
01_HAB3_R.roxo2_F6_P24DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,1183,1183,focinho,274.39517155175645,135.0647531039263
02_AMOSTRA_R.verde1_F3_P24DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,8319,8319,focinho,463.97102079862105,293.3807548685952
01_HAB2_R.roxo2_F6_P23DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,7132,7132,orelha direita,389.35073971208925,356.9088320098317
02_NOR_R.verde1_F3_P25DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,1400,1400,cauda,380.275300120484,327.66574888132595
01_HAB3_R.azul2_F6_P24DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,510,510,orelha direita,221.95929835581518,264.13767174008944
01_HAB2_R.azul1_F3_P23DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,17394,17394,focinho,437.75308420065033,340.7747171803113
01_HAB2_R.azul2_F6_P23DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,3870,3870,orelha esquerda,228.0095914168853,235.90297078842877
02_HAB3_R.verde1_F3_P24DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,10659,10659,focinho,336.9148665161479,87.67079079221014
01_HAB2_R.roxo2_F6_P23DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,5226,5226,orelha esquerda,225.99282706319525,265.1460539169345
01_HAB2_R.azul1_F3_P23DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,16561,16561,focinho,391.3675040657792,312.54001622865064
01_NOR_R.azul1_F3_P25DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,3142,3142,orelha direita,407.5016188952996,196.5760658914728
02_AMOSTRA_R.roxo2_F6_P25DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,2328,2328,orelha esquerda,238.09341318533558,323.63222017394594
01_NOR_R.azul1_F3_P25DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,8723,8723,focinho,455.9039633838608,100.7797590911955
01_HAB2_R.roxo1_F5_P23DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,3449,3449,orelha esquerda,248.17723495378578,214.72694507468327
02_AMOSTRA_R.laranja2_F6_P25DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,1785,1785,focinho,418.5938228405949,126.99769568916611
01_NOR_R.roxo1_F3_P25DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,4970,4970,cauda,510.3566009334921,144.14019269553154
01_HAB2_R.roxo1_F5_P23DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,8756,8756,cauda,238.09341318533558,284.30531527699
01_HAB2_R.laranja2_F6_P23DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,119,119,orelha esquerda,449.8536703227907,362.95912507090185
01_HAB3_R.laranja2_F6_P24DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,3712,3712,focinho,414.56029413321477,292.3723726917501
01_HAB1_R.roxo1_F5_P22DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,8454,8454,orelha esquerda,323.8058982171626,328.67413105817104
01_HAB1_R.roxo2_F6_P22DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,2473,2473,focinho,450.8620524996357,312.54001622865064
02_NOR_R.azul1_F5_P25DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,3667,3667,orelha direita,372.20824270572376,159.2659253482069
01_HAB1_R.roxo1_F3_P22DLC_resnet50_ONTO_P24Jul3shuffle1_1875000,5424,5424,focinho,400.44294365738443,70.52829378584477
